Word,Score,Related_Word
sister,0.9999270439147949,sisters
sister,0.9998186826705933,daughter
sister,0.9998142123222351,altogether
sister,0.9998137950897217,master
sister,0.9998030066490173,together
sister,0.999796986579895,daughters
sister,0.9997953772544861,father
sister,0.9997863173484802,larger
sister,0.9997841715812683,another
sister,0.9997837543487549,matters
time,0.9998817443847656,times
time,0.999870777130127,rooms
time,0.9998707175254822,told
time,0.9998696446418762,withdrew
time,0.9998685717582703,game
time,0.9998667240142822,raptures
time,0.999863862991333,hold
time,0.9998636841773987,became
time,0.9998608231544495,breakfast
time,0.9998593330383301,sometimes
aunt,0.9998854398727417,language
aunt,0.9998831152915955,arisen
aunt,0.9998776316642761,pursuit
aunt,0.9998772740364075,voluntarily
aunt,0.9998764395713806,horror
aunt,0.9998752474784851,became
aunt,0.9998744130134583,christmas
aunt,0.9998730421066284,militia
aunt,0.999872088432312,absurd
aunt,0.9998717904090881,morrow
